OrderDate,Region,Country,City,Salesperson,Channel,Category,Product,Quantity,UnitPrice,UnitCost
2024-09-21,North America,Canada,Toronto,Elena,Online,Appliances,Coffee Maker,4,493.45,387.88
2024-09-14,Europe,UK,London,Diana,Store,Furniture,Lamp,2,168.33,132.85
2024-11-21,Europe,France,Paris,Elena,Online,Electronics,Headphones,7,232.82,141.14
2024-01-01,LATAM,Brazil,São Paulo,Ivan,Distributor,Electronics,Laptop,2,177.9,109.03
2024-05-17,LATAM,Chile,Santiago,Frank,Online,Appliances,Blender,7,24.69,12.92
2024-04-10,APAC,Australia,Sydney,Ivan,Store,Office Supplies,Sticky Notes,2,108.91,72.9
2024-11-07,Europe,Germany,Berlin,Ivan,Distributor,Furniture,Desk,2,102.29,70.82
2024-08-03,LATAM,Mexico,CDMX,Elena,Distributor,Appliances,Microwave,6,435.39,205.01
2024-11-18,APAC,India,Mumbai,Grace,Online,Office Supplies,Notebook,2,334.2,264.5
2024-07-04,APAC,Australia,Sydney,Diana,Online,Furniture,Bookshelf,2,129.63,94.93
2024-04-04,Europe,Germany,Berlin,Ivan,Store,Electronics,Monitor,8,386.57,172.12
2024-12-14,APAC,Japan,Tokyo,Grace,Store,Electronics,Laptop,9,347.87,233.28
2024-05-17,North America,Canada,Toronto,Elena,Online,Office Supplies,Planner,3,471.03,344.2
2024-07-04,APAC,Australia,Sydney,Bob,Distributor,Furniture,Bookshelf,5,292.82,157.96
2024-09-24,North America,USA,Los Angeles,Hiro,Distributor,Office Supplies,Sticky Notes,2,499.71,209.52
2024-02-06,Europe,France,Paris,Bob,Store,Electronics,Headphones,9,434.55,346.48
2024-03-08,LATAM,Chile,Santiago,Carlos,Online,Furniture,Bookshelf,9,54.34,28.01
2024-08-29,North America,Canada,Toronto,Frank,Store,Appliances,Blender,4,328.75,232.12
2024-09-16,LATAM,Mexico,CDMX,Frank,Distributor,Office Supplies,Sticky Notes,4,337.12,243.78
2024-05-23,LATAM,Argentina,Buenos Aires,Ivan,Store,Furniture,Office Chair,2,440.17,231.92
2024-09-11,North America,USA,Los Angeles,Grace,Distributor,Office Supplies,Planner,1,68.9,42.57
2024-04-25,LATAM,Chile,Santiago,Grace,Store,Electronics,Monitor,9,170.91,111.45
2024-01-06,North America,USA,Los Angeles,Frank,Store,Appliances,Coffee Maker,7,286.09,157.97
2024-10-09,LATAM,Chile,Santiago,Bob,Online,Appliances,Coffee Maker,9,302.28,186.89
2024-02-13,North America,Canada,Toronto,Diana,Online,Office Supplies,Pen Set,3,121.36,52.1
2024-02-20,LATAM,Brazil,São Paulo,Alice,Distributor,Appliances,Blender,3,92.54,60.8
2024-09-08,APAC,India,Mumbai,Alice,Distributor,Appliances,Microwave,2,237.11,130.86
2024-04-08,APAC,China,Beijing,Grace,Store,Electronics,Monitor,8,264.35,156.41
2024-04-28,LATAM,Mexico,CDMX,Carlos,Store,Office Supplies,Planner,5,408.75,181.31
2024-05-28,APAC,Japan,Tokyo,Hiro,Store,Office Supplies,Planner,5,205.42,129.84
2024-03-02,Europe,UK,London,Hiro,Online,Appliances,Coffee Maker,4,307.87,217.34
2024-05-05,Europe,Germany,Berlin,Grace,Store,Appliances,Microwave,6,375.97,257.99
2024-09-09,Europe,Spain,Madrid,Julia,Store,Appliances,Microwave,5,105.93,42.69
2024-10-16,APAC,China,Beijing,Grace,Distributor,Appliances,Microwave,5,450.03,223.84
2024-02-26,APAC,China,Beijing,Julia,Store,Electronics,Monitor,3,39.53,30.59
2024-08-15,APAC,India,Mumbai,Julia,Distributor,Office Supplies,Notebook,6,105.33,49.14
2024-11-03,Europe,UK,London,Elena,Distributor,Office Supplies,Planner,4,135.82,69.8
2024-09-20,North America,Canada,Toronto,Ivan,Store,Furniture,Office Chair,3,294.66,128.43
2024-03-12,North America,USA,New York,Diana,Distributor,Appliances,Coffee Maker,2,205.95,162.84
2024-12-28,APAC,Australia,Sydney,Elena,Distributor,Office Supplies,Notebook,9,266.02,119.52
2024-08-17,Europe,France,Paris,Grace,Online,Appliances,Coffee Maker,7,267.33,182.75
2024-12-26,North America,USA,Los Angeles,Julia,Online,Appliances,Microwave,8,398.77,189.05
2024-09-27,North America,Canada,Toronto,Alice,Distributor,Appliances,Blender,8,481.83,285.93
2024-12-30,North America,USA,Los Angeles,Julia,Distributor,Furniture,Office Chair,7,409.72,225.1
2024-09-11,LATAM,Argentina,Buenos Aires,Ivan,Online,Appliances,Coffee Maker,7,322.61,195.52
2024-10-20,APAC,Australia,Sydney,Bob,Distributor,Appliances,Coffee Maker,9,398.93,262.75
2024-02-11,APAC,Japan,Tokyo,Elena,Distributor,Office Supplies,Pen Set,8,211.4,155.58
2024-10-04,LATAM,Mexico,CDMX,Alice,Online,Office Supplies,Pen Set,8,387.27,241.14
2024-07-13,LATAM,Argentina,Buenos Aires,Diana,Store,Furniture,Office Chair,5,158.01,109.47
2024-12-20,North America,USA,Los Angeles,Bob,Distributor,Furniture,Lamp,4,217.63,145.16
2024-01-13,LATAM,Argentina,Buenos Aires,Alice,Store,Appliances,Coffee Maker,2,385.66,177.36
2024-06-28,APAC,China,Beijing,Alice,Store,Furniture,Bookshelf,7,297.44,138.97
2024-02-17,LATAM,Chile,Santiago,Diana,Store,Office Supplies,Notebook,3,435.94,256.84
2024-06-16,North America,Canada,Vancouver,Ivan,Distributor,Office Supplies,Pen Set,5,56.9,23.3
2024-07-22,LATAM,Brazil,São Paulo,Ivan,Store,Electronics,Headphones,3,307.48,190.23
2024-11-26,LATAM,Chile,Santiago,Elena,Distributor,Appliances,Microwave,9,201.54,128.54
2024-09-28,Europe,Germany,Berlin,Grace,Online,Electronics,Laptop,9,494.01,224.57
2024-08-12,APAC,Japan,Tokyo,Alice,Distributor,Office Supplies,Planner,5,341.16,196.88
2024-09-03,LATAM,Chile,Santiago,Diana,Online,Electronics,Laptop,7,365.01,148.31
2024-07-16,North America,USA,Los Angeles,Julia,Distributor,Office Supplies,Sticky Notes,8,72.91,32.2
2024-03-18,North America,USA,Los Angeles,Diana,Online,Appliances,Blender,6,293.41,149.54
2024-04-05,APAC,Japan,Tokyo,Elena,Store,Appliances,Blender,4,51.97,39.38
2024-04-21,LATAM,Argentina,Buenos Aires,Alice,Online,Appliances,Blender,3,206.58,112.95
2024-04-07,North America,USA,Los Angeles,Julia,Online,Furniture,Office Chair,6,183.95,78.69
2024-04-08,Europe,UK,London,Hiro,Store,Appliances,Microwave,1,417.61,278.9
2024-09-27,North America,USA,Los Angeles,Bob,Distributor,Electronics,Laptop,5,142.86,91.02
2024-04-30,North America,Canada,Toronto,Carlos,Online,Electronics,Monitor,3,271.15,143.64
2024-03-06,North America,USA,Los Angeles,Julia,Online,Office Supplies,Pen Set,3,103.26,43.47
2024-04-23,North America,USA,New York,Ivan,Online,Electronics,Laptop,2,187.84,149.93
2024-10-01,North America,Canada,Toronto,Frank,Distributor,Office Supplies,Pen Set,7,237.95,100.9
2024-11-14,North America,USA,New York,Frank,Store,Appliances,Microwave,4,481.22,314.71
2024-11-13,Europe,Germany,Berlin,Alice,Online,Office Supplies,Planner,9,93.53,52.73
2024-01-28,APAC,Australia,Sydney,Bob,Online,Appliances,Coffee Maker,9,412.69,165.28
2024-02-16,LATAM,Chile,Santiago,Elena,Store,Office Supplies,Notebook,8,399.77,308.17
2024-06-18,APAC,Japan,Tokyo,Frank,Store,Appliances,Blender,7,205.66,94.8
2024-07-19,APAC,China,Beijing,Grace,Store,Electronics,Smartphone,5,371.22,262.62
2024-12-16,North America,Canada,Vancouver,Hiro,Online,Office Supplies,Pen Set,1,422.6,257.1
2024-05-31,North America,Canada,Toronto,Carlos,Store,Electronics,Tablet,6,135.95,97.23
2024-03-28,Europe,Spain,Madrid,Alice,Online,Electronics,Laptop,1,308.16,185.74
2024-12-25,North America,Canada,Toronto,Julia,Store,Office Supplies,Planner,4,357.28,148.08
2024-05-21,LATAM,Brazil,São Paulo,Bob,Distributor,Appliances,Coffee Maker,1,121.41,65.16
2024-08-18,North America,USA,Los Angeles,Frank,Online,Furniture,Lamp,9,52.94,41.02
2024-10-03,APAC,India,Mumbai,Alice,Store,Furniture,Desk,9,259.76,189.65
2024-06-20,APAC,China,Beijing,Grace,Distributor,Electronics,Laptop,7,471.77,353.51
2024-07-26,Europe,France,Paris,Hiro,Online,Office Supplies,Sticky Notes,6,460.5,275.74
2024-08-05,LATAM,Chile,Santiago,Hiro,Online,Office Supplies,Sticky Notes,6,287.62,160.04
2024-06-02,LATAM,Brazil,São Paulo,Hiro,Distributor,Appliances,Coffee Maker,1,67.02,48.72
2024-04-05,North America,USA,Los Angeles,Alice,Store,Furniture,Desk,3,340.41,208.67
2024-03-21,LATAM,Brazil,São Paulo,Elena,Store,Appliances,Microwave,6,79.23,38.41
2024-07-24,LATAM,Mexico,CDMX,Julia,Online,Appliances,Coffee Maker,9,168.04,68.75
2024-12-29,LATAM,Brazil,São Paulo,Alice,Store,Office Supplies,Sticky Notes,2,119.57,93.61
2024-01-13,Europe,Germany,Berlin,Alice,Online,Furniture,Office Chair,2,324.08,236.25
2024-04-03,APAC,Japan,Tokyo,Diana,Store,Furniture,Lamp,9,244.88,128.68
2024-11-08,APAC,Australia,Sydney,Grace,Store,Electronics,Monitor,1,307.06,216.76
2024-05-31,North America,Canada,Vancouver,Carlos,Online,Furniture,Office Chair,4,256.26,143.37
2024-07-21,APAC,Australia,Sydney,Julia,Distributor,Office Supplies,Notebook,9,336.49,150.98
2024-01-19,North America,USA,Los Angeles,Carlos,Distributor,Office Supplies,Sticky Notes,5,22.65,10.28
2024-02-16,Europe,France,Paris,Grace,Store,Electronics,Headphones,4,49.18,34.95
2024-12-25,LATAM,Brazil,São Paulo,Ivan,Distributor,Furniture,Office Chair,4,225.36,99.67
2024-06-23,North America,Canada,Vancouver,Ivan,Online,Appliances,Coffee Maker,6,10.16,4.14
2024-02-05,Europe,UK,London,Grace,Distributor,Office Supplies,Pen Set,2,328.6,151.42
2024-08-11,North America,USA,Los Angeles,Diana,Store,Appliances,Coffee Maker,3,286.58,136.62
2024-01-06,North America,Canada,Vancouver,Elena,Online,Office Supplies,Notebook,9,38.5,30.72
2024-08-29,LATAM,Argentina,Buenos Aires,Hiro,Distributor,Office Supplies,Planner,8,155.7,89.08
2024-03-21,Europe,Spain,Madrid,Elena,Online,Furniture,Desk,9,79.7,35.75
2024-09-06,North America,USA,New York,Ivan,Distributor,Furniture,Office Chair,3,97.11,65.71
2024-12-11,APAC,Japan,Tokyo,Hiro,Distributor,Appliances,Coffee Maker,1,259.62,207.35
2024-03-02,LATAM,Mexico,CDMX,Diana,Online,Electronics,Tablet,1,124.0,60.55
2024-07-14,APAC,Japan,Tokyo,Bob,Online,Electronics,Monitor,4,331.3,244.9
2024-11-26,APAC,India,Mumbai,Alice,Store,Furniture,Office Chair,2,74.05,55.88
2024-07-30,Europe,UK,London,Elena,Online,Furniture,Desk,3,190.2,107.59
2024-02-24,LATAM,Mexico,CDMX,Bob,Store,Furniture,Lamp,7,369.47,261.48
2024-02-23,APAC,Australia,Sydney,Julia,Store,Office Supplies,Sticky Notes,7,213.92,126.76
2024-05-13,Europe,Spain,Madrid,Hiro,Store,Office Supplies,Planner,6,397.27,251.42
2024-05-14,LATAM,Mexico,CDMX,Alice,Store,Electronics,Tablet,7,77.18,47.4
2024-07-25,Europe,France,Paris,Diana,Distributor,Office Supplies,Sticky Notes,1,168.52,123.65
2024-10-12,Europe,UK,London,Bob,Distributor,Electronics,Headphones,5,107.44,45.75
2024-06-09,Europe,Spain,Madrid,Julia,Distributor,Electronics,Tablet,4,191.99,97.21
2024-10-27,LATAM,Mexico,CDMX,Elena,Distributor,Electronics,Tablet,5,423.73,186.12
2024-06-02,APAC,India,Mumbai,Diana,Store,Electronics,Headphones,4,433.68,215.71
2024-10-12,APAC,Japan,Tokyo,Bob,Distributor,Electronics,Monitor,2,243.25,133.87
2024-05-26,LATAM,Brazil,São Paulo,Carlos,Distributor,Electronics,Laptop,4,431.19,240.15
2024-09-11,Europe,UK,London,Julia,Online,Appliances,Microwave,1,478.11,341.73
2024-02-02,LATAM,Brazil,São Paulo,Diana,Distributor,Furniture,Office Chair,9,471.99,341.51
2024-06-28,APAC,Australia,Sydney,Frank,Store,Furniture,Office Chair,1,422.03,175.3
2024-08-16,North America,Canada,Vancouver,Alice,Online,Office Supplies,Notebook,8,236.12,154.63
2024-05-30,LATAM,Brazil,São Paulo,Diana,Store,Electronics,Monitor,2,199.31,115.61
2024-07-30,Europe,France,Paris,Alice,Distributor,Furniture,Office Chair,1,310.83,132.62
2024-01-15,LATAM,Chile,Santiago,Carlos,Store,Furniture,Bookshelf,8,442.41,195.67
2024-08-29,Europe,UK,London,Julia,Store,Electronics,Headphones,1,227.2,95.23
2024-05-23,Europe,Spain,Madrid,Frank,Online,Office Supplies,Notebook,8,51.55,35.39
2024-12-29,Europe,UK,London,Julia,Store,Appliances,Microwave,3,44.92,18.19
2024-09-03,Europe,Germany,Berlin,Ivan,Store,Furniture,Lamp,5,259.2,143.87
2024-05-03,Europe,Spain,Madrid,Elena,Distributor,Office Supplies,Sticky Notes,4,181.35,128.73
2024-08-30,APAC,Australia,Sydney,Diana,Online,Furniture,Desk,7,394.08,213.57
2024-01-26,North America,USA,Los Angeles,Julia,Distributor,Office Supplies,Notebook,5,279.31,204.51
2024-11-09,LATAM,Mexico,CDMX,Grace,Distributor,Furniture,Bookshelf,8,139.87,57.12
2024-08-18,Europe,France,Paris,Elena,Store,Electronics,Laptop,1,154.77,109.53
2024-02-12,Europe,Germany,Berlin,Hiro,Distributor,Appliances,Blender,9,488.24,325.63
2024-08-24,Europe,Spain,Madrid,Ivan,Online,Appliances,Blender,3,69.48,44.88
2024-11-04,Europe,France,Paris,Bob,Online,Appliances,Microwave,9,325.51,199.25
2024-02-13,North America,Canada,Toronto,Elena,Distributor,Office Supplies,Planner,2,167.89,75.57
2024-10-19,APAC,Japan,Tokyo,Julia,Online,Furniture,Bookshelf,8,65.84,39.14
2024-12-03,North America,Canada,Toronto,Grace,Store,Appliances,Coffee Maker,2,72.77,38.95
2024-12-07,Europe,Spain,Madrid,Ivan,Distributor,Appliances,Microwave,8,303.28,132.84
2024-02-11,Europe,Germany,Berlin,Ivan,Online,Electronics,Monitor,8,221.72,127.66
2024-01-09,LATAM,Argentina,Buenos Aires,Hiro,Online,Office Supplies,Sticky Notes,9,90.21,45.96
2024-01-05,LATAM,Chile,Santiago,Hiro,Store,Appliances,Coffee Maker,4,69.54,33.31
2024-06-02,LATAM,Mexico,CDMX,Alice,Store,Furniture,Desk,1,326.45,167.91
2024-05-08,LATAM,Mexico,CDMX,Alice,Store,Office Supplies,Pen Set,7,440.84,221.91
2024-12-06,APAC,China,Beijing,Alice,Online,Furniture,Bookshelf,2,321.67,157.11
2024-09-30,LATAM,Chile,Santiago,Ivan,Store,Electronics,Monitor,8,376.61,234.68
2024-01-05,Europe,Spain,Madrid,Bob,Online,Appliances,Blender,7,331.52,156.14
2024-07-30,APAC,India,Mumbai,Bob,Distributor,Appliances,Coffee Maker,6,379.06,192.46
2024-03-03,LATAM,Argentina,Buenos Aires,Alice,Distributor,Office Supplies,Sticky Notes,2,62.89,42.4
2024-09-03,LATAM,Chile,Santiago,Diana,Distributor,Office Supplies,Notebook,4,410.71,199.36
2024-05-29,North America,Canada,Vancouver,Alice,Store,Electronics,Tablet,3,83.83,45.01
2024-01-02,APAC,India,Mumbai,Bob,Distributor,Furniture,Lamp,6,275.7,175.38
2024-10-07,Europe,Spain,Madrid,Diana,Online,Appliances,Coffee Maker,8,309.85,137.07
2024-07-21,LATAM,Chile,Santiago,Julia,Store,Furniture,Office Chair,7,347.55,260.43
2024-05-25,Europe,Spain,Madrid,Ivan,Distributor,Electronics,Headphones,9,382.95,177.7
2024-04-04,LATAM,Argentina,Buenos Aires,Elena,Online,Appliances,Blender,8,130.87,90.38
2024-12-03,Europe,France,Paris,Hiro,Distributor,Furniture,Bookshelf,1,146.17,69.81
2024-07-09,LATAM,Mexico,CDMX,Diana,Store,Furniture,Office Chair,2,109.98,68.41
2024-05-30,North America,USA,Los Angeles,Diana,Online,Electronics,Tablet,7,311.34,210.2
2024-08-11,LATAM,Argentina,Buenos Aires,Hiro,Store,Electronics,Smartphone,9,281.57,113.22
2024-04-16,Europe,Germany,Berlin,Bob,Online,Office Supplies,Notebook,6,418.01,169.05
2024-12-03,North America,Canada,Toronto,Bob,Online,Appliances,Coffee Maker,9,479.46,262.35
2024-07-25,APAC,Australia,Sydney,Elena,Online,Office Supplies,Planner,3,422.57,248.53
2024-12-11,North America,USA,New York,Julia,Online,Appliances,Microwave,3,498.2,272.68
2024-01-15,LATAM,Argentina,Buenos Aires,Bob,Store,Electronics,Tablet,4,363.81,274.49
2024-04-28,APAC,China,Beijing,Ivan,Distributor,Furniture,Desk,3,77.53,51.57
2024-02-16,North America,USA,New York,Julia,Online,Office Supplies,Planner,6,350.85,140.79
2024-12-01,LATAM,Argentina,Buenos Aires,Elena,Distributor,Electronics,Laptop,6,91.77,43.36
2024-09-09,APAC,China,Beijing,Bob,Store,Office Supplies,Pen Set,4,207.14,155.29
2024-10-30,North America,USA,Los Angeles,Julia,Store,Electronics,Tablet,3,41.78,26.4
2024-05-26,APAC,Japan,Tokyo,Diana,Online,Office Supplies,Notebook,7,354.44,149.26
2024-04-15,LATAM,Mexico,CDMX,Carlos,Store,Office Supplies,Planner,8,341.47,246.54
2024-11-07,APAC,Japan,Tokyo,Carlos,Online,Furniture,Bookshelf,3,254.15,109.49
2024-04-08,LATAM,Brazil,São Paulo,Diana,Distributor,Furniture,Desk,6,350.75,244.95
2024-03-08,Europe,UK,London,Julia,Online,Office Supplies,Planner,6,112.82,82.36
2024-01-13,APAC,Japan,Tokyo,Frank,Online,Appliances,Blender,3,225.7,103.59
2024-11-03,Europe,UK,London,Bob,Store,Furniture,Lamp,7,370.4,183.1
2024-08-24,APAC,Japan,Tokyo,Alice,Store,Office Supplies,Sticky Notes,4,40.65,29.29
2024-07-10,North America,Canada,Toronto,Diana,Store,Appliances,Microwave,9,467.23,306.98
2024-04-09,LATAM,Brazil,São Paulo,Frank,Online,Office Supplies,Sticky Notes,1,322.4,192.95
2024-12-07,North America,USA,New York,Ivan,Distributor,Furniture,Desk,6,495.65,346.4
2024-05-05,North America,USA,New York,Grace,Distributor,Furniture,Desk,7,290.22,184.32
2024-07-02,North America,Canada,Vancouver,Carlos,Distributor,Office Supplies,Planner,9,287.12,227.36
2024-04-16,APAC,Japan,Tokyo,Ivan,Distributor,Office Supplies,Planner,3,22.84,9.36
2024-05-15,Europe,France,Paris,Grace,Online,Appliances,Coffee Maker,6,143.8,87.32
2024-03-30,North America,Canada,Vancouver,Grace,Distributor,Electronics,Headphones,3,470.93,237.22
2024-02-10,Europe,Spain,Madrid,Frank,Distributor,Office Supplies,Sticky Notes,3,194.69,113.83
2024-01-01,LATAM,Chile,Santiago,Bob,Online,Furniture,Bookshelf,4,403.3,235.23
2024-04-08,APAC,Australia,Sydney,Grace,Distributor,Office Supplies,Sticky Notes,5,355.95,232.25
2024-06-06,Europe,Spain,Madrid,Diana,Store,Furniture,Lamp,7,452.92,345.92
2024-09-28,LATAM,Brazil,São Paulo,Elena,Online,Office Supplies,Pen Set,8,367.46,259.5
2024-01-26,APAC,Japan,Tokyo,Carlos,Store,Office Supplies,Notebook,6,120.36,54.47
2024-10-31,North America,Canada,Vancouver,Frank,Store,Appliances,Coffee Maker,9,378.17,250.64
2024-08-20,APAC,Japan,Tokyo,Bob,Store,Office Supplies,Pen Set,4,16.57,8.5
2024-06-03,APAC,China,Beijing,Hiro,Online,Office Supplies,Sticky Notes,6,138.24,68.95
2024-03-21,North America,USA,Los Angeles,Alice,Online,Office Supplies,Pen Set,8,487.67,267.48
2024-04-08,LATAM,Chile,Santiago,Hiro,Store,Appliances,Microwave,9,390.59,166.45
2024-02-03,North America,USA,Los Angeles,Frank,Store,Office Supplies,Pen Set,4,26.47,11.25
2024-05-12,APAC,India,Mumbai,Alice,Online,Furniture,Desk,9,179.5,94.43
2024-09-11,Europe,Germany,Berlin,Frank,Store,Office Supplies,Planner,7,52.35,25.9
2024-09-02,APAC,China,Beijing,Alice,Online,Electronics,Monitor,8,278.68,125.74
2024-05-08,APAC,Australia,Sydney,Hiro,Online,Office Supplies,Planner,7,202.79,148.27
2024-11-16,APAC,China,Beijing,Julia,Online,Appliances,Blender,8,137.48,95.18
2024-10-11,LATAM,Argentina,Buenos Aires,Grace,Online,Furniture,Lamp,5,135.7,89.79
2024-04-29,Europe,UK,London,Bob,Online,Electronics,Tablet,5,287.01,168.07
2024-01-28,Europe,Germany,Berlin,Julia,Online,Office Supplies,Sticky Notes,9,474.05,373.05
2024-05-08,North America,Canada,Vancouver,Frank,Online,Electronics,Headphones,9,20.8,14.31
2024-04-21,APAC,Australia,Sydney,Frank,Distributor,Electronics,Monitor,9,426.8,266.53
2024-12-01,Europe,UK,London,Diana,Distributor,Electronics,Tablet,1,490.45,240.79
2024-02-03,LATAM,Argentina,Buenos Aires,Grace,Distributor,Appliances,Coffee Maker,9,397.93,246.53
2024-01-14,North America,USA,Los Angeles,Bob,Online,Electronics,Laptop,2,50.05,29.2
2024-06-28,North America,Canada,Vancouver,Frank,Distributor,Office Supplies,Planner,1,220.03,100.42
2024-01-19,North America,Canada,Toronto,Hiro,Store,Electronics,Monitor,6,426.49,284.73
2024-12-31,North America,USA,New York,Elena,Online,Office Supplies,Pen Set,2,432.37,252.53
2024-05-12,North America,Canada,Vancouver,Diana,Store,Electronics,Tablet,7,277.26,117.81
2024-11-09,North America,USA,Los Angeles,Grace,Store,Office Supplies,Sticky Notes,8,64.85,35.17
2024-06-08,Europe,UK,London,Elena,Online,Furniture,Desk,3,35.46,25.34
2024-10-12,North America,Canada,Vancouver,Ivan,Store,Appliances,Blender,7,437.35,270.26
2024-01-05,APAC,Japan,Tokyo,Frank,Distributor,Electronics,Laptop,4,380.81,231.44
2024-08-12,APAC,Australia,Sydney,Grace,Online,Appliances,Blender,8,71.86,47.7
2024-02-11,APAC,China,Beijing,Julia,Store,Furniture,Bookshelf,4,436.58,216.33
2024-11-22,Europe,Spain,Madrid,Alice,Store,Appliances,Coffee Maker,9,284.49,199.23
2024-04-20,Europe,UK,London,Frank,Store,Furniture,Office Chair,1,23.31,9.93
2024-04-01,Europe,Spain,Madrid,Ivan,Online,Appliances,Coffee Maker,3,455.52,280.36
2024-02-29,North America,Canada,Vancouver,Grace,Online,Appliances,Blender,4,401.19,220.16
2024-04-22,Europe,UK,London,Carlos,Store,Furniture,Desk,7,412.83,227.95
2024-12-20,LATAM,Chile,Santiago,Grace,Online,Office Supplies,Notebook,3,226.13,108.15
2024-09-03,APAC,India,Mumbai,Hiro,Store,Electronics,Smartphone,8,150.7,108.07
2024-01-01,Europe,Spain,Madrid,Hiro,Store,Office Supplies,Sticky Notes,4,145.46,76.36
2024-03-22,APAC,China,Beijing,Carlos,Online,Furniture,Lamp,9,204.03,156.29
2024-11-30,North America,USA,New York,Bob,Store,Appliances,Microwave,8,264.89,153.38
2024-12-19,LATAM,Chile,Santiago,Frank,Store,Electronics,Smartphone,6,398.7,210.0
2024-02-16,North America,USA,New York,Hiro,Distributor,Office Supplies,Pen Set,3,187.92,142.61
2024-11-24,LATAM,Mexico,CDMX,Frank,Online,Office Supplies,Sticky Notes,8,258.46,165.22
2024-02-08,North America,USA,New York,Julia,Online,Furniture,Bookshelf,7,100.27,75.96
2024-11-11,APAC,India,Mumbai,Diana,Distributor,Appliances,Coffee Maker,5,225.76,145.87
2024-04-27,LATAM,Brazil,São Paulo,Elena,Store,Electronics,Laptop,6,429.87,192.18
2024-08-07,APAC,Japan,Tokyo,Diana,Online,Furniture,Lamp,7,483.89,274.42
2024-04-20,LATAM,Chile,Santiago,Frank,Distributor,Furniture,Desk,7,69.99,48.3
2024-06-17,APAC,Australia,Sydney,Hiro,Store,Electronics,Tablet,2,91.32,68.74
2024-11-23,APAC,India,Mumbai,Grace,Store,Furniture,Lamp,7,73.61,49.67
2024-11-15,Europe,France,Paris,Alice,Store,Electronics,Smartphone,3,268.43,184.61
2024-08-05,LATAM,Mexico,CDMX,Alice,Store,Office Supplies,Sticky Notes,2,112.78,62.21
2024-10-10,Europe,Germany,Berlin,Bob,Distributor,Office Supplies,Pen Set,3,101.83,75.69
2024-07-19,LATAM,Chile,Santiago,Hiro,Store,Furniture,Bookshelf,4,459.92,204.34
